Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'Mum Indians',b'Supergiants',b'Supergiants',b'9 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980901.html'
b'KKR',b'Daredevils',b'KKR',b'9 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980903.html'
b'Kings XI',b'Guj Lions',b'Guj Lions',b'5 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980905.html'
b'RCB',b'Sunrisers',b'RCB',b'45 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980907.html'
b'KKR',b'Mum Indians',b'Mum Indians',b'6 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980909.html'
b'Guj Lions',b'Supergiants',b'Guj Lions',b'7 wickets',b'Rajkot',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980911.html'
b'Daredevils',b'Kings XI',b'Daredevils',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980913.html'
b'Sunrisers',b'KKR',b'KKR',b'8 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980915.html'
b'Mum Indians',b'Guj Lions',b'Guj Lions',b'3 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980917.html'
b'Kings XI',b'Supergiants',b'Kings XI',b'6 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980919.html'
b'RCB',b'Daredevils',b'Daredevils',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980921.html'
b'Sunrisers',b'Mum Indians',b'Sunrisers',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980923.html'
b'Kings XI',b'KKR',b'KKR',b'6 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980925.html'
b'Mum Indians',b'RCB',b'Mum Indians',b'6 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980927.html'
b'Guj Lions',b'Sunrisers',b'Sunrisers',b'10 wickets',b'Rajkot',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980929.html'
b'Supergiants',b'RCB',b'RCB',b'13 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980931.html'
b'Daredevils',b'Mum Indians',b'Daredevils',b'10 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980933.html'
b'Sunrisers',b'Kings XI',b'Sunrisers',b'5 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980935.html'
b'Guj Lions',b'RCB',b'Guj Lions',b'6 wickets',b'Rajkot',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980937.html'
b'Supergiants',b'KKR',b'KKR',b'2 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980939.html'
b'Kings XI',b'Mum Indians',b'Mum Indians',b'25 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980941.html'
b'Sunrisers',b'Supergiants',b'Supergiants',b'34 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980943.html'
b'Daredevils',b'Guj Lions',b'Guj Lions',b'1 run',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980945.html'
b'Mum Indians',b'KKR',b'Mum Indians',b'6 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980947.html'
b'Supergiants',b'Guj Lions',b'Guj Lions',b'3 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980949.html'
b'Daredevils',b'KKR',b'Daredevils',b'27 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980951.html'
b'Sunrisers',b'RCB',b'Sunrisers',b'15 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980953.html'
b'Guj Lions',b'Kings XI',b'Kings XI',b'23 runs',b'Rajkot',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980955.html'
b'Supergiants',b'Mum Indians',b'Mum Indians',b'8 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980957.html'
b'RCB',b'KKR',b'KKR',b'5 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980959.html'
b'Guj Lions',b'Daredevils',b'Daredevils',b'8 wickets',b'Rajkot',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980961.html'
b'KKR',b'Kings XI',b'KKR',b'7 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980963.html'
b'Daredevils',b'Supergiants',b'Supergiants',b'7 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980965.html'
b'Sunrisers',b'Guj Lions',b'Sunrisers',b'5 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980967.html'
b'RCB',b'Supergiants',b'RCB',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980969.html'
b'Kings XI',b'Daredevils',b'Kings XI',b'9 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980971.html'
b'Mum Indians',b'Sunrisers',b'Sunrisers',b'85 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980973.html'
b'KKR',b'Guj Lions',b'Guj Lions',b'5 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980975.html'
b'Kings XI',b'RCB',b'RCB',b'1 run',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980977.html'
b'Supergiants',b'Sunrisers',b'Sunrisers',b'4 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980979.html'
b'RCB',b'Mum Indians',b'Mum Indians',b'6 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980981.html'
b'Sunrisers',b'Daredevils',b'Daredevils',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980983.html'
b'Mum Indians',b'Kings XI',b'Kings XI',b'7 wickets',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980985.html'
b'RCB',b'Guj Lions',b'RCB',b'144 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980987.html'
b'KKR',b'Supergiants',b'KKR',b'8 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980989.html'
b'Kings XI',b'Sunrisers',b'Sunrisers',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980991.html'
b'Mum Indians',b'Daredevils',b'Mum Indians',b'80 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980993.html'
b'KKR',b'RCB',b'RCB',b'9 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980995.html'
b'Supergiants',b'Daredevils',b'Supergiants',b'19 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980997.html'
b'RCB',b'Kings XI',b'RCB',b'82 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980999.html'
b'Guj Lions',b'KKR',b'Guj Lions',b'6 wickets',b'Kanpur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981001.html'
b'Daredevils',b'Sunrisers',b'Daredevils',b'6 wickets',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981003.html'
